Z positions,B field ,B field 2,B field 3,AVE,STD,STDM
-0.30,9.70E-04,1.08E-03,1.10E-03,1.05E-03,7.00E-05,4.04E-05
-0.25,2.37E-03,2.29E-03,2.35E-03,2.34E-03,4.16E-05,2.40E-05
-0.20,3.48E-03,3.39E-03,3.52E-03,3.46E-03,6.66E-05,3.84E-05
-0.15,2.75E-03,2.87E-03,2.82E-03,2.81E-03,6.03E-05,3.48E-05
-0.10,2.27E-03,2.39E-03,2.44E-03,2.37E-03,8.74E-05,5.04E-05
-0.05,2.87E-03,2.74E-03,2.83E-03,2.81E-03,6.66E-05,3.84E-05
0.00,3.67E-03,3.72E-03,3.69E-03,3.69E-03,2.52E-05,1.45E-05
0.05,2.61E-03,2.68E-03,2.72E-03,2.67E-03,5.57E-05,3.21E-05
0.10,2.45E-03,2.38E-03,2.41E-03,2.41E-03,3.51E-05,2.03E-05
0.15,2.94E-03,2.87E-03,2.82E-03,2.88E-03,6.03E-05,3.48E-05
0.20,3.46E-03,3.52E-03,3.40E-03,3.46E-03,6.00E-05,3.46E-05
0.25,2.66E-03,2.54E-03,2.62E-03,2.61E-03,6.11E-05,3.53E-05
0.30,1.40E-03,1.57E-03,1.61E-03,1.53E-03,1.12E-04,6.44E-05
