Z positions,B field ,B field 2,B field 3,AVE,STD,STDM
-0.30,-3.40E-04,-3.70E-04,-3.50E-04,-3.53E-04,1.53E-05,8.82E-06
-0.25,-6.40E-04,-6.10E-04,-6.70E-04,-6.40E-04,3.00E-05,1.73E-05
-0.20,-1.36E-03,-1.32E-03,-1.40E-03,-1.36E-03,4.00E-05,2.31E-05
-0.15,-2.41E-03,-2.45E-03,-2.44E-03,-2.43E-03,2.08E-05,1.20E-05
-0.10,-2.53E-03,-2.57E-03,-2.51E-03,-2.54E-03,3.06E-05,1.76E-05
-0.05,-1.17E-03,-1.10E-03,-1.15E-03,-1.14E-03,3.61E-05,2.08E-05
0.00,-4.30E-04,-3.80E-04,-4.10E-04,-4.07E-04,2.52E-05,1.45E-05
0.05,1.40E-03,1.50E-03,1.70E-03,1.53E-03,1.53E-04,8.82E-05
0.10,2.73E-03,2.69E-03,2.75E-03,2.72E-03,3.06E-05,1.76E-05
0.15,1.90E-03,2.01E-03,1.70E-03,1.87E-03,1.57E-04,9.07E-05
0.20,9.70E-04,9.10E-04,9.60E-04,9.47E-04,3.21E-05,1.86E-05
0.25,4.70E-04,5.30E-04,4.90E-04,4.97E-04,3.06E-05,1.76E-05
0.30,2.60E-04,3.20E-04,2.90E-04,2.90E-04,3.00E-05,1.73E-05
