Z positions,B field ,B field 2,B field 3,AVE,STD,STDM
-0.30,4.89E-04,3.71E-04,3.83E-04,4.14E-04,6.49E-05,3.74937E-05
-0.25,8.67E-04,8.94E-04,8.64E-04,8.75E-04,1.65E-05,9.53939E-06
-0.20,1.59E-03,1.56E-03,1.60E-03,1.59E-03,1.97E-05,1.13725E-05
-0.15,2.74E-03,3.29E-03,3.08E-03,3.04E-03,2.78E-04,0.000160243
-0.10,4.75E-03,4.17E-03,4.67E-03,4.53E-03,3.14E-04,0.000181475
-0.05,5.03E-03,4.62E-03,5.00E-03,4.88E-03,2.29E-04,0.000131951
0.00,5.00E-03,4.98E-03,4.98E-03,4.99E-03,1.15E-05,6.66667E-06
0.05,4.63E-03,5.01E-03,4.62E-03,4.75E-03,2.22E-04,0.000128366
0.10,4.20E-03,4.47E-03,4.17E-03,4.28E-03,1.65E-04,9.53939E-05
0.15,2.81E-03,2.63E-03,2.77E-03,2.74E-03,9.45E-05,5.4569E-05
0.20,1.51E-03,1.62E-03,1.48E-03,1.54E-03,7.37E-05,4.25572E-05
0.25,7.90E-04,7.40E-04,6.80E-04,7.37E-04,5.51E-05,3.1798E-05
0.30,4.40E-04,4.90E-04,4.60E-04,4.63E-04,2.52E-05,1.45297E-05
